timestamp,device_id,dev_eui,fcnt,encryption_scheme,payload_length,encrypted_payload_length,encryption_time_ns,transmission_time_s,energy_consumption_nj,packet_loss,gateway_id,snr,rssi,data_rate,frequency,sf,bandwidth_hz,rx_power_dbm,tx_start,tx_end
365.0,DEV_015,43f01e2b7ac8a8f8,5,AES-128-GCM,10,38,53500,0.45260799999999995,9325121.55258484,False,GW_2,32.623461928103126,-78.32927462469867,5,868.3,12,500000,-78.32927462469867,365.0,365.452608
367.0,DEV_020,b2c201b84a9af945,7,Advanced-ECC-AES,37,217,1357100,0.171648,4234997.396956361,False,GW_1,24.31867009797562,-88.45629669236587,6,868.1,7,250000,-88.45629669236587,367.0,367.171648
371.0,DEV_006,787176f17fbdca08,11,ChaCha20-Poly1305-Lite,33,49,47700,0.024384,352502.342843117,False,GW_1,22.80071754772938,-88.57788344774498,5,867.7,7,500000,-88.57788344774498,371.0,371.024384
371.0,DEV_016,9439ff9ffb85875d,11,Advanced-ECC-AES,44,224,1305400,0.17676799999999998,2163033.283811834,False,GW_2,25.647787403482116,-88.3797344268011,6,867.9,7,250000,-88.3797344268011,371.0,371.176768
371.0,DEV_017,17ffad60894390d1,11,Hybrid-ECC-AES,19,67,115900,0.030784,357009.9384631484,False,GW_1,25.383006872835704,-86.34658876282853,5,868.1,7,500000,-86.34658876282853,371.0,371.030784
378.0,DEV_003,9248fc49325b5799,6,ChaCha20-Poly1305,27,55,26800,0.575488,11157630.78527769,False,GW_2,25.79321837369688,-86.42126490028286,5,867.7,11,250000,-86.42126490028286,378.0,378.575488
398.0,DEV_020,b2c201b84a9af945,8,Advanced-ECC-AES,37,217,1287200,0.171648,4234997.396956361,False,GW_1,37.53165226651561,-76.85155699081643,6,867.9,7,250000,-76.85155699081643,398.0,398.171648
400.0,DEV_005,58ea5af6ab6a0941,10,ChaCha20-Poly1305-Lite,49,65,29200,0.369664,7867583.637984228,False,GW_1,29.40687628025128,-83.58769297279451,6,868.1,7,250000,-83.58769297279451,400.0,400.369664
402.0,DEV_006,787176f17fbdca08,12,ChaCha20-Poly1305-Lite,33,49,43800,0.024384,352502.342843117,False,GW_1,21.24576147002336,-88.52999748557306,5,867.1,7,500000,-88.52999748557306,402.0,402.024384
402.0,DEV_016,9439ff9ffb85875d,12,Advanced-ECC-AES,44,224,1310500,0.17676799999999998,2163033.283811834,False,GW_2,26.783819591799663,-87.732891649157,6,867.9,7,250000,-87.732891649157,402.0,402.176768
402.0,DEV_017,17ffad60894390d1,12,Hybrid-ECC-AES,19,67,116400,0.030784,357009.9384631484,False,GW_1,23.300227911305313,-85.12192581964923,5,867.5,7,500000,-85.12192581964923,402.0,402.030784
